CMDLINE c:\Users\phoeb\OneDrive\Documents\KTH\HPC\Computational-Astrophysics\venv\Scripts\python.exe sph.py
MEM 9.980469 1740310639.3764
MEM 9.980469 1740310639.4765
MEM 9.980469 1740310639.5769
MEM 9.980469 1740310639.6773
MEM 9.980469 1740310639.7782
MEM 9.980469 1740310639.8791
MEM 9.980469 1740310639.9795
MEM 9.980469 1740310640.0799
MEM 9.980469 1740310640.1805
MEM 9.980469 1740310640.2808
MEM 9.980469 1740310640.3813
MEM 9.980469 1740310640.4818
MEM 9.980469 1740310640.5826
MEM 9.980469 1740310640.6829
MEM 9.980469 1740310640.7834
MEM 9.980469 1740310640.8836
MEM 9.980469 1740310640.9842
MEM 9.980469 1740310641.0846
MEM 9.980469 1740310641.1864
MEM 9.980469 1740310641.2867
MEM 9.980469 1740310641.3871
MEM 9.980469 1740310641.4877
MEM 9.980469 1740310641.5879
MEM 9.980469 1740310641.6881
MEM 9.980469 1740310641.7885
MEM 9.980469 1740310641.8894
MEM 9.980469 1740310641.9900
MEM 9.980469 1740310642.0920
MEM 9.980469 1740310642.1926
MEM 9.980469 1740310642.2930
MEM 9.980469 1740310642.3934
MEM 9.980469 1740310642.4940
MEM 9.980469 1740310642.5942
MEM 9.980469 1740310642.6947
MEM 9.980469 1740310642.7952
MEM 9.980469 1740310642.8954
MEM 9.980469 1740310642.9959
MEM 9.980469 1740310643.0963
MEM 9.980469 1740310643.1967
MEM 9.980469 1740310643.2969
MEM 9.980469 1740310643.3976
MEM 9.980469 1740310643.4993
MEM 9.980469 1740310643.5998
MEM 9.980469 1740310643.7000
MEM 9.980469 1740310643.8003
MEM 9.980469 1740310643.9006
MEM 9.980469 1740310644.0012
MEM 9.980469 1740310644.1014
MEM 9.980469 1740310644.2020
MEM 9.980469 1740310644.3025
MEM 9.980469 1740310644.4028
MEM 9.980469 1740310644.5030
MEM 9.980469 1740310644.6035
MEM 9.980469 1740310644.7038
MEM 9.980469 1740310644.8041
MEM 9.980469 1740310644.9046
MEM 9.980469 1740310645.0050
MEM 9.980469 1740310645.1056
MEM 9.980469 1740310645.2060
MEM 9.980469 1740310645.3085
MEM 9.980469 1740310645.4095
MEM 9.980469 1740310645.5100
MEM 9.980469 1740310645.6103
MEM 9.980469 1740310645.7105
MEM 9.980469 1740310645.8112
MEM 9.980469 1740310645.9114
MEM 9.980469 1740310646.0121
MEM 9.980469 1740310646.1122
MEM 9.980469 1740310646.2125
MEM 9.980469 1740310646.3131
MEM 9.980469 1740310646.4135
MEM 9.980469 1740310646.5138
MEM 9.980469 1740310646.6144
MEM 9.980469 1740310646.7152
MEM 9.980469 1740310646.8157
