CMDLINE c:\Users\phoeb\OneDrive\Documents\KTH\HPC\Computational-Astrophysics\venv\Scripts\python.exe opt_sph.py
MEM 10.027344 1740310783.6478
MEM 10.027344 1740310783.7482
MEM 10.027344 1740310783.8488
MEM 10.027344 1740310783.9491
MEM 10.027344 1740310784.0497
MEM 10.027344 1740310784.1500
MEM 10.027344 1740310784.2502
MEM 10.027344 1740310784.3511
MEM 10.027344 1740310784.4519
MEM 10.027344 1740310784.5524
MEM 10.027344 1740310784.6529
MEM 10.027344 1740310784.7532
MEM 10.027344 1740310784.8539
MEM 10.027344 1740310784.9545
MEM 10.027344 1740310785.0549
MEM 10.027344 1740310785.1552
MEM 10.027344 1740310785.2557
MEM 10.027344 1740310785.3565
MEM 10.027344 1740310785.4577
MEM 10.027344 1740310785.5616
MEM 10.027344 1740310785.6626
MEM 10.027344 1740310785.7679
MEM 10.027344 1740310785.8693
MEM 10.027344 1740310785.9701
MEM 10.027344 1740310786.0706
MEM 10.027344 1740310786.1711
MEM 10.027344 1740310786.2718
MEM 10.027344 1740310786.3720
MEM 10.027344 1740310786.4728
MEM 10.027344 1740310786.5732
MEM 10.027344 1740310786.6738
MEM 10.027344 1740310786.7744
MEM 10.027344 1740310786.8747
MEM 10.027344 1740310786.9752
MEM 10.027344 1740310787.0756
MEM 10.027344 1740310787.1758
MEM 10.027344 1740310787.2763
MEM 10.027344 1740310787.3769
MEM 10.027344 1740310787.4776
MEM 10.027344 1740310787.5782
MEM 10.027344 1740310787.6860
MEM 10.027344 1740310787.7866
MEM 10.027344 1740310787.8891
MEM 10.027344 1740310787.9898
MEM 10.027344 1740310788.0905
MEM 10.027344 1740310788.1910
MEM 10.027344 1740310788.2916
MEM 10.027344 1740310788.3919
MEM 10.027344 1740310788.4928
MEM 10.027344 1740310788.5933
MEM 10.027344 1740310788.6938
MEM 10.027344 1740310788.7944
MEM 10.027344 1740310788.8951
MEM 10.027344 1740310789.0032
MEM 10.027344 1740310789.1089
MEM 10.027344 1740310789.2096
MEM 10.027344 1740310789.3104
MEM 10.027344 1740310789.4126
MEM 10.027344 1740310789.5194
MEM 10.027344 1740310789.6354
MEM 10.027344 1740310789.7364
MEM 10.027344 1740310789.8368
MEM 10.027344 1740310789.9428
MEM 10.027344 1740310790.0434
MEM 10.027344 1740310790.1440
MEM 10.027344 1740310790.2444
MEM 10.027344 1740310790.3454
MEM 10.027344 1740310790.4460
MEM 10.027344 1740310790.5466
MEM 10.027344 1740310790.6471
MEM 10.027344 1740310790.7474
MEM 10.027344 1740310790.8478
MEM 10.027344 1740310790.9482
MEM 10.027344 1740310791.0485
MEM 10.027344 1740310791.1487
MEM 10.027344 1740310791.2492
MEM 10.027344 1740310791.3497
MEM 10.027344 1740310791.4674
MEM 10.027344 1740310791.5684
MEM 10.027344 1740310791.6686
MEM 10.027344 1740310791.7692
MEM 10.027344 1740310791.8701
MEM 10.027344 1740310791.9708
MEM 10.027344 1740310792.0719
MEM 10.027344 1740310792.1729
MEM 10.027344 1740310792.2735
MEM 10.027344 1740310792.3739
MEM 10.027344 1740310792.4742
MEM 10.027344 1740310792.5750
MEM 10.027344 1740310792.6762
MEM 10.027344 1740310792.7789
MEM 10.027344 1740310792.8862
MEM 10.027344 1740310792.9876
MEM 10.027344 1740310793.0882
MEM 10.027344 1740310793.1885
MEM 10.027344 1740310793.2903
MEM 10.027344 1740310793.3913
MEM 10.027344 1740310793.4915
MEM 10.027344 1740310793.5921
MEM 10.027344 1740310793.6927
MEM 10.027344 1740310793.7938
MEM 10.027344 1740310793.8943
MEM 10.027344 1740310793.9951
MEM 10.027344 1740310794.0956
MEM 10.027344 1740310794.1965
MEM 10.027344 1740310794.2976
MEM 10.027344 1740310794.4032
MEM 10.027344 1740310794.5044
MEM 10.027344 1740310794.6048
MEM 10.027344 1740310794.7050
MEM 10.027344 1740310794.8052
MEM 10.027344 1740310794.9115
MEM 10.027344 1740310795.0121
MEM 10.027344 1740310795.1125
MEM 10.027344 1740310795.2147
MEM 10.027344 1740310795.3150
MEM 10.027344 1740310795.4159
MEM 10.027344 1740310795.5200
MEM 10.027344 1740310795.6257
MEM 10.027344 1740310795.7320
MEM 10.027344 1740310795.8325
MEM 10.027344 1740310795.9327
MEM 10.027344 1740310796.0334
MEM 10.027344 1740310796.1340
MEM 10.027344 1740310796.2343
MEM 10.027344 1740310796.3395
MEM 10.027344 1740310796.4399
MEM 10.027344 1740310796.5411
MEM 10.027344 1740310796.6418
MEM 10.027344 1740310796.7422
MEM 10.027344 1740310796.8474
MEM 10.027344 1740310796.9500
MEM 10.027344 1740310797.0503
MEM 10.027344 1740310797.1506
MEM 10.027344 1740310797.2510
MEM 10.027344 1740310797.3519
MEM 10.027344 1740310797.4536
MEM 10.027344 1740310797.5545
MEM 10.027344 1740310797.6588
MEM 10.027344 1740310797.7591
MEM 10.027344 1740310797.8594
MEM 10.027344 1740310797.9600
MEM 10.027344 1740310798.0602
MEM 10.027344 1740310798.1604
MEM 10.027344 1740310798.2610
MEM 10.027344 1740310798.3618
MEM 10.027344 1740310798.4623
MEM 10.027344 1740310798.5637
MEM 10.027344 1740310798.6642
MEM 10.027344 1740310798.7649
MEM 10.027344 1740310798.8657
MEM 10.027344 1740310798.9664
MEM 10.027344 1740310799.0670
MEM 10.027344 1740310799.1677
MEM 10.027344 1740310799.2679
MEM 10.027344 1740310799.3686
MEM 10.027344 1740310799.4688
MEM 10.027344 1740310799.5692
MEM 10.027344 1740310799.6699
MEM 10.027344 1740310799.7705
MEM 10.027344 1740310799.8707
MEM 10.027344 1740310799.9714
MEM 10.027344 1740310800.0720
MEM 10.027344 1740310800.1725
MEM 10.027344 1740310800.2732
MEM 10.027344 1740310800.3734
MEM 10.027344 1740310800.4739
MEM 10.027344 1740310800.5751
MEM 10.027344 1740310800.6753
MEM 10.027344 1740310800.7758
MEM 10.027344 1740310800.8760
MEM 10.027344 1740310800.9765
MEM 10.027344 1740310801.0774
MEM 10.027344 1740310801.1776
MEM 10.027344 1740310801.2783
MEM 10.027344 1740310801.3786
MEM 10.027344 1740310801.4792
MEM 10.027344 1740310801.5864
MEM 10.027344 1740310801.6870
MEM 10.027344 1740310801.7872
MEM 10.027344 1740310801.8880
MEM 10.027344 1740310801.9883
MEM 10.027344 1740310802.0885
MEM 10.027344 1740310802.1887
MEM 10.027344 1740310802.2893
MEM 10.027344 1740310802.3899
MEM 10.027344 1740310802.4905
MEM 10.027344 1740310802.5907
MEM 10.027344 1740310802.6913
MEM 10.027344 1740310802.7915
MEM 10.027344 1740310802.8919
