42227116 function calls (41023071 primitive calls) in 23.800 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     12/9    0.000    0.000    0.229    0.025 <frozen importlib._bootstrap>:1192(_gcd_import)
     3322    0.007    0.000    0.227    0.000 patches.py:633(draw)
    48940    0.066    0.000    0.221    0.000 markers.py:250(_recache)
   236573    0.164    0.000    0.220    0.000 transforms.py:1769(__init__)
    59184    0.046    0.000    0.220    0.000 fromnumeric.py:69(_wrapreduction)
27180/20838    0.069    0.000    0.219    0.000 transforms.py:2431(get_affine)
    95156    0.108    0.000    0.217    0.000 transforms.py:749(__init__)
   138714    0.055    0.000    0.217    0.000 contextlib.py:287(helper)
     3020    0.012    0.000    0.212    0.000 transforms.py:641(union)
    88312    0.043    0.000    0.208    0.000 figure.py:65(_stale_figure_callback)
     1204    0.004    0.000    0.207    0.000 axis.py:761(_set_scale)
     1204    0.006    0.000    0.199    0.000 scale.py:103(set_default_locators_and_formatters)
    62388    0.043    0.000    0.195    0.000 fromnumeric.py:51(_wrapfunc)
      602    0.003    0.000    0.193    0.000 pyplot.py:872(figure)
    55274    0.031    0.000    0.190    0.000 colors.py:242(_check_color_like)
      301    0.001    0.000    0.187    0.001 pyplot.py:526(_warn_if_gui_out_of_main_thread)
      603    0.001    0.000    0.187    0.000 pyplot.py:359(_get_backend_mod)
        1    0.000    0.000    0.187    0.187 pyplot.py:549(new_figure_manager)
        1    0.000    0.000    0.186    0.186 pyplot.py:373(switch_backend)
        1    0.000    0.000    0.186    0.186 registry.py:302(load_backend_module)
    98022    0.079    0.000    0.185    0.000 lines.py:1276(set_xdata)
        1    0.000    0.000    0.184    0.184 backend_inline.py:1(<module>)
      600    0.001    0.000    0.182    0.000 pyplot.py:3821(plot)
    35039    0.012    0.000    0.178    0.000 font_manager.py:711(__eq__)
      600    0.002    0.000    0.177    0.000 _axes.py:1532(plot)
     1812    0.010    0.000    0.177    0.000 axis.py:2591(get_tick_space)
4204/3004    0.005    0.000    0.174    0.000 axis.py:2360(setter)
    19320    0.011    0.000    0.172    0.000 axis.py:2356(getter)
   127792    0.112    0.000    0.172    0.000 __init__.py:65(check_isinstance)
179447/109129    0.027    0.000    0.171    0.000 {built-in method builtins.hash}
     1204    0.003    0.000    0.170    0.000 _base.py:3273(grid)
    30468    0.039    0.000    0.169    0.000 _base.py:854(<dictcomp>)
     2408    0.006    0.000    0.167    0.000 axis.py:1707(grid)
      106    0.000    0.000    0.162    0.002 artist.py:158(_update_set_signature_and_docstring)
   138714    0.149    0.000    0.162    0.000 contextlib.py:104(__init__)
    55703    0.031    0.000    0.161    0.000 colors.py:223(is_color_like)
      105    0.000    0.000    0.160    0.002 artist.py:125(__init_subclass__)
     4876    0.011    0.000    0.159    0.000 backend_agg.py:248(_prepare_font)
    13258    0.022    0.000    0.157    0.000 axis.py:406(update_position)
  900/600    0.001    0.000    0.157    0.000 _base.py:3707(set_xlim)
    90786    0.065    0.000    0.155    0.000 lines.py:1295(set_ydata)
    94421    0.070    0.000    0.155    0.000 colors.py:277(to_rgba)
    76003    0.109    0.000    0.154    0.000 transforms.py:2040(scale)
        1    0.000    0.000    0.152    0.152 embed.py:1(<module>)
     2416    0.007    0.000    0.151    0.000 axis.py:957(set_tick_params)
     2416    0.003    0.000    0.151    0.000 spines.py:293(draw)
    40326    0.025    0.000    0.149    0.000 transforms.py:1995(rotate_deg)
  2394891    0.148    0.000    0.148    0.000 {method 'get' of 'dict' objects}
     3322    0.023    0.000    0.147    0.000 patches.py:583(_draw_paths_with_artist_properties)
    40332    0.019    0.000    0.144    0.000 fromnumeric.py:211(reshape)
    56181    0.033    0.000    0.141    0.000 artist.py:435(set_transform)
     5104    0.010    0.000    0.139    0.000 axis.py:395(_apply_tickdir)
    60979    0.036    0.000    0.138    0.000 artist.py:738(set_figure)
  1611529    0.138    0.000    0.138    0.000 {method 'items' of 'dict' objects}
    94743    0.138    0.000    0.138    0.000 cbook.py:1781(<dictcomp>)
   176367    0.056    0.000    0.138    0.000 transforms.py:155(invalidate)
    17177    0.025    0.000    0.135    0.000 path.py:99(__init__)
    88272    0.068    0.000    0.134    0.000 lines.py:1203(_set_markercolor)
    48040    0.023    0.000    0.132    0.000 axis.py:293(_set_artist_props)
    25850    0.030    0.000    0.132    0.000 text.py:995(set_color)
     4876    0.128    0.000    0.130    0.000 {built-in method matplotlib.ft2font.set_text}
     4832    0.014    0.000    0.130    0.000 transforms.py:460(transformed)
    10846    0.018    0.000    0.129    0.000 axis.py:467(update_position)
        1    0.000    0.000    0.129    0.129 figure.py:1(<module>)
      120    0.000    0.000    0.129    0.001 artist.py:1832(kwdoc)
    29424    0.061    0.000    0.128    0.000 lines.py:1144(set_linestyle)
    29424    0.018    0.000    0.125    0.000 lines.py:1059(set_color)
     4504    0.008    0.000    0.125    0.000 axis.py:456(_apply_tickdir)
    44262    0.063    0.000    0.125    0.000 fromnumeric.py:41(_wrapit)
    21600    0.054    0.000    0.125    0.000 artist.py:1167(update_from)
     2416    0.012    0.000    0.123    0.000 axis.py:302(_apply_params)
    51357    0.015    0.000    0.121    0.000 transforms.py:1782(transform)
    40326    0.076    0.000    0.120    0.000 transforms.py:1972(rotate)
    88316    0.032    0.000    0.118    0.000 pyplot.py:1074(_auto_draw_if_interactive)
     3926    0.005    0.000    0.116    0.000 backend_agg.py:93(draw_path)
255991/254702    0.028    0.000    0.115    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.114    0.057 interactiveshell.py:1(<module>)
     4876    0.011    0.000    0.113    0.000 font_manager.py:1363(_find_fonts_by_props)
    72366    0.039    0.000    0.112    0.000 cbook.py:871(get_siblings)
      120    0.003    0.000    0.111    0.001 artist.py:1593(pprint_setters)
     1812    0.010    0.000    0.110    0.000 axis.py:2821(get_tick_space)
   150124    0.061    0.000    0.109    0.000 colors.py:218(_is_nth_color)
     3926    0.085    0.000    0.109    0.000 {built-in method matplotlib.backends._backend_agg.draw_path}
  1173952    0.108    0.000    0.108    0.000 {function RcParams.__getitem__ at 0x106c71800}
     3624    0.040    0.000    0.108    0.000 ticker.py:817(_set_format)
     1208    0.008    0.000    0.108    0.000 _base.py:1900(apply_aspect)
      600    0.007    0.000    0.108    0.000 _base.py:2916(autoscale_view)
    52565    0.034    0.000    0.108    0.000 transforms.py:1848(transform_affine)
     1804    0.003    0.000    0.107    0.000 fromnumeric.py:2338(sum)
      300    0.004    0.000    0.107    0.000 _base.py:2313(add_collection)
    14504    0.008    0.000    0.105    0.000 transforms.py:795(from_bounds)
        1    0.000    0.000    0.105    0.105 pyplot.py:1238(savefig)
    24925    0.037    0.000    0.105    0.000 transforms.py:1087(__init__)
    29756    0.017    0.000    0.104    0.000 transforms.py:785(unit)
        1    0.000    0.000    0.102    0.102 colorbar.py:1(<module>)
     6080    0.018    0.000    0.100    0.000 font_manager.py:1293(findfont)
    13896    0.007    0.000    0.098    0.000 backend_bases.py:604(new_gc)
      994    0.003    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
     4832    0.084    0.000    0.096    0.000 {built-in method matplotlib.backends._backend_agg.draw_markers}
   442014    0.096    0.000    0.096    0.000 transforms.py:110(__init__)
     7200    0.012    0.000    0.094    0.000 text.py:342(update_from)
    10800    0.005    0.000    0.094    0.000 copy.py:237(_deepcopy_method)
     1204    0.003    0.000    0.093    0.000 ticker.py:452(__init__)
   164658    0.034    0.000    0.093    0.000 <frozen abc>:117(__instancecheck__)
   250993    0.093    0.000    0.093    0.000 {built-in method numpy.asarray}
   308825    0.093    0.000    0.093    0.000 {method 'copy' of 'numpy.ndarray' objects}
     4409    0.007    0.000    0.092    0.000 artist.py:1461(get_valid_values)
    25829    0.032    0.000    0.092    0.000 transforms.py:2575(__init__)
    13896    0.029    0.000    0.092    0.000 backend_bases.py:680(__init__)
    48694    0.053    0.000    0.089    0.000 font_manager.py:876(set_size)
     1200    0.002    0.000    0.087    0.000 _base.py:227(__call__)
    88318    0.027    0.000    0.087    0.000 __init__.py:1339(is_interactive)
    59740    0.038    0.000    0.086    0.000 markers.py:275(_set_fillstyle)
     1200    0.006    0.000    0.086    0.000 _base.py:2975(handle_single_axis)
     1204    0.007    0.000    0.085    0.000 ticker.py:573(set_useMathText)
    26429    0.030    0.000    0.084    0.000 patches.py:792(_convert_units)
    29424    0.015    0.000    0.083    0.000 lines.py:738(set_transform)
      600    0.003    0.000    0.082    0.000 _base.py:2362(add_line)
   172349    0.054    0.000    0.082    0.000 enum.py:686(__call__)
201620/176367    0.067    0.000    0.082    0.000 transforms.py:164(_invalidate_internal)
      600    0.005    0.000    0.080    0.000 _base.py:396(_plot_args)
     5104    0.005    0.000    0.079    0.000 axis.py:389(_get_text1_transform)
   265541    0.056    0.000    0.078    0.000 _function_base_impl.py:339(iterable)
    23438    0.020    0.000    0.076    0.000 text.py:1040(set_linespacing)
        3    0.000    0.000    0.076    0.025 application.py:1(<module>)
    29424    0.010    0.000    0.074    0.000 lines.py:1227(set_markerfacecolor)
    51154    0.037    0.000    0.074    0.000 font_manager.py:784(set_family)
   119686    0.041    0.000    0.074    0.000 {built-in method builtins.any}
    28388    0.013    0.000    0.073    0.000 fromnumeric.py:3190(min)
    63992    0.059    0.000    0.073    0.000 cbook.py:259(__init__)
     3924    0.010    0.000    0.072    0.000 transforms.py:1418(__sub__)
     3624    0.020    0.000    0.072    0.000 ticker.py:744(_compute_offset)
     3904    0.011    0.000    0.072    0.000 _base.py:2578(_process_unit_info)
    15040    0.024    0.000    0.072    0.000 _stride_tricks_impl.py:481(broadcast_arrays)
      302    0.003    0.000    0.072    0.000 figure.py:156(_get_draw_artists)
    21632    0.013    0.000    0.071    0.000 text.py:1108(set_fontsize)
     7634    0.004    0.000    0.071    0.000 __init__.py:272(_compile)
     1200    0.005    0.000    0.070    0.000 cbook.py:683(safe_masked_invalid)
     7563    0.043    0.000    0.069    0.000 inspect.py:867(cleandoc)
     3624    0.043    0.000    0.069    0.000 numeric.py:2337(isclose)
     5104    0.011    0.000    0.069    0.000 _base.py:956(get_xaxis_text1_transform)
    28992    0.012    0.000    0.069    0.000 fromnumeric.py:3052(max)
    50497    0.019    0.000    0.069    0.000 artist.py:1055(set_visible)
     5104    0.004    0.000    0.068    0.000 axis.py:392(_get_text2_transform)
     4504    0.004    0.000    0.068    0.000 axis.py:450(_get_text1_transform)
    52256    0.012    0.000    0.068    0.000 {method 'max' of 'numpy.ndarray' objects}
    15839    0.053    0.000    0.068    0.000 _shape_base_impl.py:621(column_stack)
    51652    0.034    0.000    0.067    0.000 transforms.py:2027(translate)
      300    0.003    0.000    0.067    0.000 collections.py:242(get_datalim)
     4836    0.062    0.000    0.067    0.000 {built-in method matplotlib.backends._backend_agg.draw_text_image}
     4804    0.003    0.000    0.067    0.000 axis.py:1749(update_units)
      900    0.001    0.000    0.066    0.000 _base.py:3941(set_ylim)
1088/1076    0.001    0.000    0.066    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      604    0.004    0.000    0.066    0.000 axis.py:2389(_init)
      414    0.001    0.000    0.064    0.000 _compiler.py:738(compile)
        1    0.000    0.000    0.064    0.064 contour.py:1(<module>)
     7521    0.009    0.000    0.064    0.000 inspect.py:848(getdoc)
9608/4804    0.021    0.000    0.063    0.000 units.py:164(get_converter)
     3624    0.007    0.000    0.063    0.000 axis.py:1605(_get_tick_label_size)
     4504    0.004    0.000    0.062    0.000 axis.py:453(_get_text2_transform)
    92957    0.035    0.000    0.062    0.000 {built-in method builtins.sorted}
     1115    0.004    0.000    0.062    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.061    0.061 backend_bases.py:1(<module>)
   260489    0.037    0.000    0.061    0.000 transforms.py:195(<lambda>)
    98565    0.048    0.000    0.061    0.000 {method '__reduce_ex__' of 'object' objects}
     5104    0.009    0.000    0.061    0.000 _base.py:983(get_xaxis_text2_transform)
     4504    0.009    0.000    0.060    0.000 _base.py:1038(get_yaxis_text1_transform)
      604    0.003    0.000    0.059    0.000 axis.py:2613(_init)
    34136    0.010    0.000    0.059    0.000 {method 'min' of 'numpy.ndarray' objects}
    52565    0.059    0.000    0.059    0.000 {built-in method matplotlib._path.affine_transform}
   164658    0.038    0.000    0.059    0.000 {built-in method _abc._abc_instancecheck}
        3    0.000    0.000    0.058    0.019 text.py:1(<module>)
      300    0.001    0.000    0.058    0.000 collections.py:1025(__init__)
     7828    0.030    0.000    0.057    0.000 transforms.py:2837(nonsingular)
     7248    0.009    0.000    0.057    0.000 ticker.py:217(<listcomp>)
     3624    0.019    0.000    0.057    0.000 ticker.py:783(_set_order_of_magnitude)
      600    0.001    0.000    0.057    0.000 _base.py:546(<listcomp>)
    45070    0.031    0.000    0.057    0.000 text.py:1259(set_verticalalignment)
   242850    0.034    0.000    0.056    0.000 {built-in method builtins.setattr}
     1200    0.001    0.000    0.056    0.000 _base.py:539(<genexpr>)
    61280    0.024    0.000    0.056    0.000 lines.py:75(_scale_dashes)
      994    0.001    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      302    0.001    0.000    0.056    0.000 collections.py:906(update_scalarmappable)
    52256    0.011    0.000    0.056    0.000 _methods.py:42(_amax)
