CMDLINE /usr/bin/python3.11 sph.py
MEM 122.710938 1739284202.7329
MEM 122.710938 1739284202.8332
MEM 122.710938 1739284202.9335
MEM 122.714844 1739284203.0340
MEM 122.714844 1739284203.1343
MEM 128.218750 1739284203.2346
MEM 125.218750 1739284203.3351
MEM 122.718750 1739284203.4354
MEM 122.718750 1739284203.5358
MEM 122.718750 1739284203.6361
MEM 122.753906 1739284203.7364
MEM 122.699219 1739284203.8368
MEM 122.699219 1739284203.9372
MEM 123.574219 1739284204.0375
MEM 122.699219 1739284204.1379
MEM 122.699219 1739284204.2386
MEM 122.699219 1739284204.3390
MEM 122.699219 1739284204.4393
MEM 122.699219 1739284204.5397
MEM 122.699219 1739284204.6401
MEM 122.699219 1739284204.7406
MEM 126.199219 1739284204.8411
MEM 126.964844 1739284204.9414
MEM 122.714844 1739284205.0417
MEM 122.714844 1739284205.1421
MEM 122.714844 1739284205.2425
MEM 122.714844 1739284205.3429
MEM 122.601562 1739284205.4432
MEM 122.714844 1739284205.5436
MEM 126.339844 1739284205.6439
MEM 122.714844 1739284205.7444
MEM 122.714844 1739284205.8447
MEM 122.714844 1739284205.9451
MEM 122.511719 1739284206.0458
MEM 122.511719 1739284206.1461
MEM 122.562500 1739284206.2465
MEM 122.566406 1739284206.3468
MEM 129.691406 1739284206.4472
MEM 124.031250 1739284206.5476
MEM 122.500000 1739284206.6480
MEM 122.500000 1739284206.7483
MEM 122.500000 1739284206.8487
MEM 122.500000 1739284206.9490
MEM 122.500000 1739284207.0493
MEM 122.500000 1739284207.1497
MEM 122.500000 1739284207.2502
MEM 125.000000 1739284207.3506
MEM 122.500000 1739284207.4510
MEM 122.500000 1739284207.5518
MEM 122.500000 1739284207.6522
MEM 122.500000 1739284207.7525
MEM 122.500000 1739284207.8529
MEM 122.500000 1739284207.9532
MEM 122.687500 1739284208.0536
MEM 125.722656 1739284208.1541
MEM 122.722656 1739284208.2546
MEM 122.722656 1739284208.3549
MEM 122.722656 1739284208.4559
MEM 122.722656 1739284208.5563
MEM 122.722656 1739284208.6568
MEM 122.726562 1739284208.7572
MEM 122.726562 1739284208.8576
MEM 122.726562 1739284208.9581
MEM 122.738281 1739284209.0586
MEM 122.738281 1739284209.1589
MEM 122.738281 1739284209.2593
MEM 122.738281 1739284209.3597
MEM 127.988281 1739284209.4600
MEM 124.863281 1739284209.5604
MEM 122.738281 1739284209.6608
MEM 122.738281 1739284209.7612
MEM 122.738281 1739284209.8615
MEM 122.738281 1739284209.9619
MEM 122.738281 1739284210.0623
MEM 122.738281 1739284210.1626
MEM 122.738281 1739284210.2630
MEM 122.738281 1739284210.3634
MEM 126.863281 1739284210.4638
MEM 124.863281 1739284210.5642
MEM 122.738281 1739284210.6645
MEM 122.738281 1739284210.7651
MEM 122.738281 1739284210.8655
MEM 122.738281 1739284210.9658
MEM 122.738281 1739284211.0662
MEM 122.738281 1739284211.1665
MEM 122.738281 1739284211.2669
MEM 122.738281 1739284211.3672
MEM 127.238281 1739284211.4676
MEM 122.738281 1739284211.5680
MEM 122.753906 1739284211.6683
